"","rGAL_1 MaxLFQ Intensity","rGAL_2 MaxLFQ Intensity","rGAL_3 MaxLFQ Intensity","UL_1 MaxLFQ Intensity","UL_2 MaxLFQ Intensity","UL_3 MaxLFQ Intensity"
"ARPC4",17.0584830824489,16.6712507957527,16.6939045250442,17.2318716983437,16.7667515950358,17.0204367866116
"TPI1",14.5347776022849,15.0612103404112,15.2268253429209,15.1188054893457,15.4772418870061,15.5372603591992
"MYL6",16.2196601270129,15.9118651073018,15.6443392145008,15.7968110070707,15.7479131954757,15.9985224272126
"ACTB",19.0624098443479,18.980475996143,19.1553224006163,19.5107657129554,19.0693821080425,19.1308442696434
"EIF4A1",15.7676166017234,15.6235342597379,16.2582430475088,15.8860007073807,15.3221546957403,15.8483688914648
"RPS3A",19.9672639786568,20.0433733863247,20.033187989504,19.620765373167,19.442230579346,19.4652758310264
"RPL26",18.7069920345759,18.3787854994719,18.523439669116,18.0808931343202,18.2056048930964,18.2190775076045
"PSME3",14.6946098144561,12.9601001742293,12.7515384273587,14.0827328553609,15.0980707495654,15.2560478795821
"RPL15",15.1455011351924,15.1951054071961,15.0320351340379,15.0812570630135,15.1746062355779,15.2162167813955
"RPL37A",17.1105468259872,17.3198407359537,17.787486847475,17.0579681442807,16.5691222101611,17.1174877736288
"LYZ",17.2438392129066,16.6027458330228,16.5202161196012,16.8129027207809,17.0222100096283,17.1487518278539
"DAD1",14.5920081108028,13.7359857011187,14.3882301748193,13.1721272902937,13.167207899901,13.9042365462322
"RPL37",15.6093162932952,15.5347894546038,15.6881839108448,14.8576911735913,15.5678179649689,15.5647109978662
"HNRNPK",16.4012864373535,16.2896779742837,16.1548304676121,15.8657255393464,16.18783396081,15.6101138892661
"RPS7",15.6152129284879,16.2668619230544,16.033280600647,15.1422231544721,15.7618171425071,15.1482507859134
"PPP1CB",15.6070265412885,15.0593854458968,14.7357792570226,15.3587071687933,15.2336545005293,15.1419292230075
"RPS8",18.504164838907,18.6399209276304,18.7623979361961,18.7817891024307,18.2787951713815,18.3862891718602
"RPS15A",16.3763128039766,15.8432319665076,15.8308762811919,16.4703362745393,16.4103428604148,16.1654368045732
"RPS16",14.3078939503734,13.8063684682081,13.6437177745795,13.5376525514638,13.1341659726514,13.3379701218878
"RPS14",17.5859772724925,17.4797681878482,17.4384466961363,16.4771250198398,17.4518849635265,16.691898007489
"RPS23",16.6496148977558,16.6954723184287,17.5563203621943,16.5598082989185,16.1079027813419,16.5055781296268
