"Protein","rPAL_detected","Sial_rPAL_detected","MAR_values_imputed","MNAR_values_imputed"
"RPS2",3,3,0,0
"TCF4",2,1,1,2
"DSP",3,3,0,0
"RPA2",3,3,0,0
"CD44",3,3,0,0
"H2AX",3,3,0,0
"SPN",3,3,0,0
"CREB1",3,3,0,0
"NCK1",3,3,0,0
"H1-5",3,3,0,0
"H1-3",3,3,0,0
"H1-2",3,3,0,0
"ATP2A2",3,3,0,0
"FAH",3,1,0,2
"STMN1",3,3,0,0
"YBX3",3,3,0,0
"ZNF16",3,3,0,0
"ZNF22",3,3,0,0
"ZNF24",2,0,1,3
"HMGA1",3,3,0,0
"ZNF8",3,0,0,3
"GOT1",3,3,0,0
"UBTF",3,3,0,0
"JUND",3,3,0,0
"NDUFB7",2,3,1,0
"PTPN2",3,3,0,0
"CTPS1",3,3,0,0
"DDX5",3,3,0,0
"PFKL",3,3,0,0
"FLT1",3,3,0,0
"PSMC3",3,3,0,0
"TCP1",3,3,0,0
"PTPN1",3,3,0,0
"ERCC2",3,3,0,0
"RPL35A",3,3,0,0
"ARF4",3,3,0,0
"RPL7",3,3,0,0
"VCL",3,3,0,0
"SON",3,3,0,0
"NELFE",3,3,0,0
"RPL17",3,3,0,0
"PGAM1",3,3,0,0
"RCC1",3,3,0,0
"ATF1",3,3,0,0
"ATF6",2,2,2,0
"LIG1",3,3,0,0
"XRCC1",3,3,0,0
"PLCG1",3,3,0,0
"NCL",3,3,0,0
"HK1",3,2,1,0
"POLR2C",3,3,0,0
"POLR2E",3,3,0,0
"NDUFV2",3,3,0,0
"ERCC3",3,3,0,0
"EIF2AK2",3,3,0,0
"WT1",3,3,0,0
"SRM",3,3,0,0
"CSNK2A2",3,3,0,0
"ITIH2",3,3,0,0
"NFKB1",3,3,0,0
"EIF2S2",3,3,0,0
"ANXA7",3,3,0,0
"TBP",3,3,0,0
"BTF3",3,3,0,0
"CHRM3",3,3,0,0
"RAB6A",3,2,1,0
"MSH3",3,3,0,0
"PSMB1",3,3,0,0
"LMNB1",3,3,0,0
"ITGAL",3,3,0,0
"FLG",3,3,0,0
"CDK11B",3,3,0,0
"ATP6V1B2",3,3,0,0
"FLNA",3,3,0,0
"ACO1",3,3,0,0
"TNFAIP3",3,1,0,2
"TAF1",3,3,0,0
"VDAC1",3,3,0,0
"SDHB",3,2,1,0
"COMT",3,3,0,0
"OSBP",3,3,0,0
"PCMT1",3,3,0,0
"FUT4",3,3,0,0
"FBL",3,3,0,0
"RPS4Y1",3,3,0,0
"GART",3,3,0,0
"PAICS",3,3,0,0
"SCP2",3,3,0,0
"UBA1",3,3,0,0
"NME2",3,3,0,0
"HNRNPA2B1",3,3,0,0
"CBL",3,3,0,0
"UQCRC2",3,3,0,0
"TGM1",3,3,0,0
"FECH",3,3,0,0
"XPA",3,3,0,0
"TCEA1",3,3,0,0
"SFPQ",3,3,0,0
"TUBG1",3,3,0,0
"PPIB",3,3,0,0
"ME2",2,2,2,0
"WARS1",3,3,0,0
"RPS3",3,3,0,0
"GCSH",2,3,1,0
"RPS6KB1",3,2,1,0
"JAK1",3,2,1,0
"SP100",3,3,0,0
"AHCY",3,3,0,0
"CFL1",3,3,0,0
"EIF4B",3,3,0,0
"ATP2B4",3,3,0,0
"GATA2",3,3,0,0
"RRM1",3,3,0,0
"IL4R",3,3,0,0
"EEF1B2",3,3,0,0
"ACAT1",3,3,0,0
"POLR2A",3,3,0,0
"APC",3,1,0,2
"GRK2",3,3,0,0
"MCM3",3,3,0,0
"AZGP1",3,3,0,0
"RPS12",3,3,0,0
"BRD2",3,3,0,0
"YY1",3,3,0,0
"DNAJB1",3,3,0,0
"ATP5F1A",3,3,0,0
"PSMA1",3,3,0,0
"PSMA2",3,3,0,0
"PSMA3",3,3,0,0
"PSMA4",3,3,0,0
"MSN",3,3,0,0
"DDX6",3,3,0,0
"DNMT1",3,3,0,0
"U2AF2",3,3,0,0
"RPL13",3,3,0,0
"IVD",2,2,2,0
"MGAT1",3,2,1,0
"HMGB2",3,3,0,0
"PTBP1",3,3,0,0
"TARS1",3,3,0,0
"VARS1",3,3,0,0
"EEF1G",3,3,0,0
"FKBP2",3,2,1,0
"STOM",3,3,0,0
"AK4",3,3,0,0
"YWHAQ",3,3,0,0
"MAPK3",3,3,0,0
"MARK3",3,3,0,0
"CALML3",2,1,1,2
"RPL10",3,3,0,0
"RPA1",3,3,0,0
"APEX1",3,3,0,0
"CAD",3,3,0,0
"CALR",3,3,0,0
"MAP4",3,3,0,0
"CANX",3,3,0,0
"PIK3R1",3,3,0,0
"PSMB8",3,3,0,0
"PSMA5",3,3,0,0
"PSMB4",3,3,0,0
"PSMB6",3,3,0,0
"PSMB5",3,3,0,0
"ABCD3",3,3,0,0
"ITPRID2",3,3,0,0
"NDUFS1",3,3,0,0
"POLD1",3,3,0,0
"MAPK1",3,3,0,0
"ERCC5",3,3,0,0
"LAP3",3,3,0,0
"CD34",3,2,1,0
"GTF2E1",3,3,0,0
"GTF2E2",3,3,0,0
"TPP2",3,3,0,0
"IMPA1",3,1,0,2
"SHC1",3,3,0,0
"MPG",3,3,0,0
"KDM5A",3,3,0,0
"TKT",3,3,0,0
"CASP1",3,1,0,2
"SERPINB3",3,3,0,0
"RBMS1",3,3,0,0
"PML",3,3,0,0
"TYK2",3,3,0,0
"EEF1D",3,3,0,0
"MARCKS",3,3,0,0
"ERP29",3,3,0,0
"PRDX6",3,3,0,0
"PRDX5",3,3,0,0
"ATP5F1D",2,3,1,0
"RPL12",3,3,0,0
"ECHS1",1,2,1,2
"CMPK1",3,3,0,0
"PEBP1",3,3,0,0
"PDIA3",3,3,0,0
"PPP2R1A",3,3,0,0
"PPP2R1B",3,3,0,0
"CDC27",3,3,0,0
"NKTR",3,3,0,0
"NMT1",3,3,0,0
"HMOX2",3,3,0,0
"ADSS2",3,2,1,0
"ADSL",3,3,0,0
"SRI",2,2,2,0
"GNA15",3,3,0,0
"SERPINB1",3,3,0,0
"GCH1",3,3,0,0
"ALDH1B1",3,3,0,0
"POLR2B",3,3,0,0
"LCN1",2,0,1,3
"SDHA",3,3,0,0
"CORO1A",3,3,0,0
"S100A7",3,3,0,0
"MAT2A",3,3,0,0
"HOXA10",3,3,0,0
"HOXA9",2,3,1,0
"RRM2",3,3,0,0
"DNAJA1",3,3,0,0
"UQCRC1",3,3,0,0
"ATIC",3,3,0,0
"HNRNPH3",3,3,0,0
"HNRNPH1",3,3,0,0
"CASP14",3,3,0,0
"YWHAB",3,3,0,0
"STIP1",3,3,0,0
"S100A11",3,3,0,0
"PRDX2",3,3,0,0
"ARRB2",3,3,0,0
"GRK4",3,3,0,0
"PYCR1",2,3,1,0
"ELF1",3,3,0,0
"GTF2H1",3,3,0,0
"ICAM3",3,1,0,2
"RPL9",3,3,0,0
